,G1,G2,G3
aquaintance,0.11948489654675222,0.1196799502835392,0.06402614711297219
friend,0.16483939960307523,0.17196947337352955,0.10992023707068645
study,0.041066437325306376,0.07848922029502352,0.07629163234082617
council,0.09880206395027206,0.024270178674846096,0.023783092178297924
politics,0.1005073477956613,0.0771074710347583,0.0038292835758546233
value,0.09457934841094892,0.04701255298337137,0.0707742222787709
