,G1,G2,G3
aquaintance,0.5237035769296594,0.45622641509433964,0.46686328938237337
friend,0.4815340909090909,0.48031496062992124,0.49957337883959047
study,0.4206484641638225,0.38936781609195403,0.4250614250614251
council,0.5032537960954447,0.373134328358209,0.40327868852459015
politics,0.4637134778510839,0.34536082474226804,0.40540540540540543
value,0.5076923076923077,0.39524245196706315,0.42336259284267386
