participant.label,R1,end_app.1.player.rnumber_x,R2,end_app.1.player.rnumber_y,R3,end_app.1.player.rnumber
nrn,1.0,718874.0,1.0,365116.0,1.0,141983.0
nut,1.0,569015.0,1.0,994746.0,1.0,575948.0
ny3,,,1.0,704460.0,1.0,583316.0
p23,1.0,790310.0,,,,
p49,1.0,752541.0,1.0,618965.0,1.0,693117.0
pgx,1.0,187315.0,1.0,845564.0,1.0,589771.0
pkt,1.0,788335.0,1.0,292766.0,,
qay,1.0,224347.0,1.0,668048.0,1.0,584735.0
qew,1.0,857056.0,1.0,126501.0,1.0,118877.0
qhv,1.0,281496.0,1.0,881813.0,1.0,490802.0
qqt,1.0,205871.0,1.0,660115.0,1.0,829440.0
qx3,1.0,396836.0,1.0,205521.0,1.0,439273.0
qxn,1.0,857415.0,1.0,404341.0,1.0,665936.0
rbb,1.0,502392.0,,,,
rbc,1.0,344741.0,1.0,919434.0,1.0,129051.0
rf4,1.0,570461.0,1.0,320890.0,1.0,782774.0
rht,1.0,493780.0,1.0,194911.0,1.0,238576.0
rxs,1.0,238631.0,1.0,296108.0,1.0,914414.0
ryn,1.0,484306.0,1.0,171502.0,1.0,913364.0
saf,1.0,962807.0,1.0,742455.0,1.0,319366.0
sbf,1.0,627982.0,1.0,493830.0,1.0,729350.0
spg,1.0,786959.0,1.0,747408.0,1.0,423680.0
sva,1.0,810918.0,1.0,102189.0,1.0,581653.0
t94,1.0,129775.0,1.0,519347.0,1.0,602459.0
tcc,1.0,227358.0,1.0,461720.0,1.0,312834.0
tdq,1.0,773671.0,1.0,941217.0,1.0,454321.0
tfp,1.0,245597.0,,,,
th3,1.0,565617.0,,,,
tpf,,,1.0,697168.0,1.0,342033.0
tpu,1.0,955007.0,1.0,979545.0,1.0,696175.0
ttz,1.0,708967.0,,,,
tuw,1.0,939314.0,1.0,363743.0,1.0,291474.0
ucp,1.0,162232.0,1.0,875768.0,1.0,717632.0
udg,1.0,285030.0,1.0,468333.0,1.0,880290.0
uge,1.0,760030.0,1.0,347315.0,1.0,366402.0
ugr,1.0,879950.0,1.0,818767.0,1.0,584274.0
uhg,1.0,106256.0,1.0,934066.0,1.0,498966.0
ukm,,,1.0,189952.0,1.0,716259.0
uqy,1.0,379669.0,1.0,586534.0,1.0,949212.0
uwx,1.0,887049.0,1.0,738942.0,1.0,142986.0
v3e,1.0,609648.0,1.0,453095.0,1.0,167418.0
vcb,1.0,534180.0,1.0,363482.0,1.0,153640.0
vgg,1.0,199224.0,1.0,405966.0,1.0,552681.0
vgv,1.0,678007.0,1.0,424953.0,1.0,954680.0
vkv,1.0,489922.0,1.0,986136.0,1.0,985684.0
vnb,1.0,771285.0,1.0,341843.0,1.0,846496.0
vrm,1.0,720164.0,1.0,490591.0,1.0,394313.0
vtt,1.0,101687.0,1.0,303234.0,1.0,523004.0
vxf,1.0,858794.0,1.0,975959.0,,
wen,1.0,694470.0,1.0,737034.0,1.0,221166.0
wer,1.0,970176.0,,,,
wfr,1.0,569647.0,1.0,753864.0,,
whx,1.0,153738.0,1.0,954113.0,1.0,780593.0
wng,,,1.0,725784.0,1.0,437443.0
wrc,1.0,345434.0,1.0,705298.0,1.0,618038.0
xnc,,,,,1.0,750632.0
xtk,1.0,673173.0,1.0,797376.0,1.0,743237.0
xvg,,,1.0,940533.0,1.0,502614.0
xwx,,,1.0,586553.0,1.0,525550.0
xyb,1.0,223845.0,1.0,315744.0,1.0,186485.0
xyg,1.0,483621.0,,,,
ycm,,,1.0,831578.0,1.0,442247.0
ydy,1.0,689536.0,,,1.0,452929.0
yer,1.0,781752.0,1.0,433755.0,1.0,850484.0
yfg,1.0,965635.0,1.0,287064.0,1.0,505951.0
yfk,1.0,877370.0,1.0,160281.0,1.0,963707.0
yg9,1.0,332782.0,1.0,537264.0,1.0,907357.0
yqq,1.0,389194.0,1.0,742292.0,1.0,283241.0
yte,1.0,663878.0,1.0,884337.0,,
ytr,1.0,230684.0,1.0,177348.0,1.0,423308.0
yuc,1.0,800597.0,1.0,499496.0,1.0,819674.0
ywc,1.0,793452.0,1.0,504700.0,1.0,526158.0
,,,1.0,107871.0,1.0,160613.0
