participant.label,R1,end_app.1.player.rnumber_x,demographic_app.1.player.postcode_x,R2,end_app.1.player.rnumber_y,demographic_app.1.player.postcode_y,R3,end_app.1.player.rnumber,demographic_app.1.player.postcode
ydy,1.0,689536.0,72.0,,,,1.0,452929.0,72.0
yer,1.0,781752.0,78.0,1.0,433755.0,78.0,1.0,850484.0,78.0
yfg,1.0,965635.0,75.0,1.0,287064.0,75.0,1.0,505951.0,75.0
yfk,1.0,877370.0,71.0,1.0,160281.0,71.0,1.0,963707.0,71.0
yg9,1.0,332782.0,88.0,1.0,537264.0,88.0,1.0,907357.0,88.0
yqq,1.0,389194.0,79.0,1.0,742292.0,79.0,1.0,283241.0,79.0
yte,1.0,663878.0,70.0,1.0,884337.0,70.0,,,
ytr,1.0,230684.0,75.0,1.0,177348.0,75.0,1.0,423308.0,75.0
yuc,1.0,800597.0,88.0,1.0,499496.0,88.0,1.0,819674.0,88.0
ywc,1.0,793452.0,66.0,1.0,504700.0,66.0,1.0,526158.0,66.0
nan,,,,1.0,107871.0,81.0,1.0,160613.0,81.0
