participant.label,conjoint_app.1.player.device_type,conjoint_app.1.player.operating_system,conjoint_app.1.player.browser,conjoint_app.1.player.lang,conjoint_app.1.player.use_of_device,demographic_app.1.player.rent,demographic_app.1.player.income,demographic_app.1.player.edu_father,demographic_app.1.player.edu_mother,demographic_app.1.player.ocu_father,demographic_app.1.player.ocu_mother,demographic_app.1.player.age,demographic_app.1.player.gender,demographic_app.1.player.postcode,demographic_app.1.player.tutorial,demographic_app.1.player.grade,network_app.1.player.linksrechts_self,political_app.1.player.sunday_poll,political_app.1.player.sunday_party_vote,political_app.1.player.sunday_not_eligible,political_app.1.player.noteligible_sunday_party_vote,political_app.1.player.scalo_cdu,political_app.1.player.scalo_csu,political_app.1.player.scalo_spd,political_app.1.player.scalo_gruene,political_app.1.player.scalo_fdp,political_app.1.player.scalo_afd,political_app.1.player.scalo_linke,political_app.1.player.scalo_bsw,political_app.1.player.scalo_pep1,political_app.1.player.scalo_pep2,political_app.1.player.scalo_pep3,political_app.1.player.scalo_pep4,political_app.1.player.scalo_pep5,political_app.1.player.scalo_pep6,political_app.1.player.scalo_pep7,political_app.1.player.scalo_pep8,political_app.1.player.scalo_pep9,political_app.1.player.scalo_pep10,political_app.1.player.scalo_pep11,political_app.1.player.scalo_pep12,political_app.1.player.scalo_pep13,political_app.1.player.scalo_pep14,political_app.1.player.scalo_pep15,political_app.1.player.scalo_pep16,political_app.1.player.politics_question_one,political_app.1.player.politics_question_two,political_app.1.player.politics_question_three,political_app.1.player.politics_question_four,political_app.1.player.politics_question_five,political_app.1.player.politics_question_six,political_app.1.player.politics_question_seven,political_app.1.player.lr_CDU,political_app.1.player.lr_CSU,political_app.1.player.lr_SPD,political_app.1.player.lr_Gruene,political_app.1.player.lr_FDP,political_app.1.player.lr_Linke,political_app.1.player.lr_AfD,political_app.1.player.lr_BSW
ebs,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,18.0,2.0,78.0,2.0,2.7,4,1.0,1.0,,,-1.0,-2.0,4.0,3.0,-2.0,-5.0,0.0,-3.0,3,2,3,-3,-3,4,-5,2,-1,-5,-5,-2,3,-5,-4,-4,4,3,5,4,4,4,4,8,9,4,5,7,2,11,1
h9k,2.0,5.0,3.0,0.0,2.0,,,1.0,3.0,1.0,1.0,21.0,1.0,67.0,3.0,2.0,3,1.0,3.0,,,-1.0,-4.0,4.0,5.0,-5.0,-5.0,0.0,-5.0,3,4,0,-5,-5,0,-5,5,0,-5,-5,-5,4,-5,-5,-4,5,4,5,3,5,5,5,9,10,4,3,7,1,11,11
gga,3.0,2.0,3.0,1.0,2.0,,,3.0,3.0,0.0,1.0,18.0,1.0,0.0,8.0,2.7,0,4.0,,2.0,,-1.0,0.0,3.0,0.0,0.0,-999.0,-3.0,0.0,-999,4,-999,-999,-999,5,-3,-999,-5,-4,0,0,0,-999,-999,0,3,3,2,3,4,4,4,7,11,2,7,1,1,6,6
saf,3.0,2.0,3.0,0.0,2.0,,,2.0,1.0,1.0,1.0,20.0,1.0,88.0,1.0,2.0,6,1.0,2.0,,,4.0,3.0,2.0,0.0,0.0,-5.0,-3.0,-4.0,1,4,2,0,1,3,-5,0,0,-5,-5,2,0,-5,-2,-1,4,4,4,3,5,5,4,8,8,5,3,7,1,11,1
whx,3.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,1.0,19.0,1.0,0.0,8.0,-999.0,2,4.0,,1.0,3.0,-999.0,-999.0,2.0,4.0,0.0,-5.0,3.0,1.0,-2,2,-999,-999,-999,2,-4,-2,4,-4,-999,-999,-999,-999,0,-4,3,-999,2,-999,4,3,4,-999,-999,-999,-999,-999,-999,-999,-999
hhb,3.0,2.0,3.0,0.0,2.0,,,-999.0,1.0,-999.0,1.0,19.0,1.0,78.0,5.0,2.0,6,1.0,7.0,,,2.0,0.0,1.0,-5.0,-1.0,0.0,4.0,-999.0,-2,-2,-3,-1,1,-5,2,-2,0,-999,-3,0,-5,0,-999,-5,4,1,4,2,5,5,5,9,10,6,4,8,3,11,6
buv,2.0,4.0,3.0,0.0,2.0,,,4.0,1.0,1.0,-999.0,19.0,1.0,91.0,7.0,3.0,3,1.0,1.0,,,-2.0,-4.0,3.0,3.0,-3.0,-5.0,3.0,-5.0,0,1,2,-2,-2,2,-5,4,4,-5,-5,-4,4,-5,-5,-5,4,-999,2,-999,4,4,-999,8,9,4,6,8,2,11,9
vxf,3.0,2.0,2.0,0.0,1.0,,,1.0,3.0,0.0,1.0,21.0,2.0,0.0,5.0,4.0,0,1.0,3.0,,,-5.0,-5.0,5.0,5.0,-5.0,-5.0,-5.0,-5.0,5,5,5,-1,-4,5,-5,5,2,-5,-5,-4,5,-5,-5,-5,4,5,5,5,4,4,4,7,8,4,3,6,1,11,6
ceh,3.0,2.0,3.0,0.0,1.0,,,2.0,1.0,1.0,1.0,18.0,1.0,78.0,2.0,2.3,3,1.0,8.0,,,-4.0,-4.0,3.0,4.0,0.0,-5.0,2.0,-2.0,-3,5,-3,0,-3,0,-5,-999,2,-5,-5,4,3,-3,-2,-999,3,3,4,4,3,4,4,5,5,3,2,3,1,11,7
cpk,3.0,2.0,3.0,0.0,2.0,,,3.0,4.0,1.0,1.0,20.0,2.0,72.0,2.0,2.0,5,1.0,2.0,,,1.0,0.0,1.0,0.0,-1.0,-5.0,-4.0,-5.0,-1,2,1,-2,1,3,-4,2,-2,-5,-5,0,2,-5,-5,-5,4,4,5,4,3,4,3,6,7,5,5,6,3,11,2
kry,3.0,2.0,3.0,0.0,2.0,,,4.0,3.0,1.0,1.0,18.0,1.0,78.0,2.0,2.3,6,1.0,3.0,,,0.0,-3.0,3.0,2.0,0.0,-5.0,-3.0,-5.0,-2,5,0,-2,0,-5,-5,0,2,1,0,-5,0,-5,0,0,-999,2,1,3,4,3,3,7,9,5,3,8,1,11,4
ywc,3.0,3.0,3.0,0.0,2.0,,,2.0,2.0,1.0,1.0,19.0,1.0,66.0,2.0,2.0,6,,,,,1.0,-3.0,3.0,4.0,-3.0,-5.0,-2.0,-4.0,2,1,4,-3,-4,2,-5,4,1,-5,-5,-4,3,-5,-5,-4,4,4,2,2,4,5,3,9,10,5,3,9,2,11,9
qhv,3.0,2.0,3.0,0.0,2.0,,,4.0,1.0,1.0,1.0,20.0,1.0,61.0,2.0,1.3,4,1.0,1.0,,,4.0,2.0,5.0,3.0,-2.0,-5.0,-1.0,-5.0,2,3,4,-2,3,3,-5,-2,5,-4,-5,3,2,-1,-4,-3,1,-999,4,4,5,5,5,9,9,4,2,8,1,11,10
9xy,3.0,1.0,2.0,0.0,1.0,,,4.0,4.0,1.0,1.0,19.0,2.0,76.0,5.0,2.7,0,1.0,1.0,,,-2.0,-3.0,4.0,3.0,-5.0,-5.0,0.0,-4.0,0,0,1,-5,-3,1,-5,2,0,-5,-5,-4,2,-5,-4,-4,5,3,5,3,4,4,4,9,8,4,4,8,2,11,2
kmw,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,28.0,2.0,88.0,6.0,2.7,0,1.0,2.0,,,2.0,3.0,-3.0,-5.0,3.0,2.0,-5.0,-2.0,-2,-5,1,3,2,0,2,-5,-1,-5,-999,-1,-5,-1,1,-3,3,2,4,4,4,5,4,7,8,4,2,9,1,11,7
h9x,3.0,1.0,5.0,0.0,1.0,,,4.0,3.0,1.0,1.0,19.0,1.0,71.0,3.0,2.3,5,1.0,3.0,,,0.0,-3.0,2.0,3.0,1.0,-5.0,0.0,-4.0,0,2,0,-1,-2,2,-5,1,0,-5,-5,-3,3,-4,-4,-3,4,3,2,3,4,4,4,8,9,4,5,7,2,11,1
e3v,2.0,5.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,20.0,2.0,73.0,7.0,1.7,0,1.0,3.0,,,0.0,-2.0,2.0,3.0,0.0,-5.0,-3.0,-5.0,2,1,3,0,-2,4,-4,4,1,-5,-5,-2,3,-5,-5,-3,5,3,5,4,4,4,4,8,9,5,4,7,1,11,6
vgv,2.0,5.0,3.0,0.0,2.0,,,-999.0,1.0,-999.0,1.0,18.0,1.0,73.0,2.0,-999.0,4,1.0,1.0,,,-4.0,-5.0,3.0,2.0,0.0,-5.0,-2.0,-2.0,1,4,2,-2,-4,0,-5,5,2,-5,-5,-3,-999,-4,-2,-4,4,3,4,4,5,4,4,7,8,5,3,6,1,10,5
wrc,3.0,1.0,5.0,1.0,1.0,,,2.0,1.0,1.0,1.0,19.0,1.0,71.0,8.0,2.0,4,1.0,1.0,,,-2.0,-3.0,3.0,1.0,-2.0,-5.0,1.0,-4.0,-1,3,0,-2,-1,2,-5,1,2,-5,-5,0,3,-4,-2,-5,4,2,2,3,3,2,4,8,9,6,4,7,3,11,6
amu,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,1.0,20.0,1.0,64.0,7.0,1.7,5,1.0,3.0,,,-4.0,-5.0,0.0,1.0,2.0,-5.0,-4.0,-4.0,1,4,2,2,-5,-5,-5,3,-999,-5,-5,-4,-2,-4,-2,-5,5,4,4,4,4,5,5,8,9,5,6,8,2,11,9
mhp,3.0,1.0,3.0,1.0,1.0,,,3.0,2.0,0.0,0.0,21.0,2.0,34.0,8.0,2.0,6,4.0,,1.0,8.0,0.0,0.0,0.0,-5.0,0.0,-3.0,0.0,0.0,-999,-4,-999,-999,-999,1,-4,-999,2,2,-999,-999,-999,-999,-999,-5,5,4,-999,3,4,5,5,8,4,5,5,5,4,10,7
ucp,3.0,2.0,3.0,0.0,2.0,,,-999.0,1.0,-999.0,1.0,20.0,1.0,89.0,2.0,2.0,4,1.0,1.0,,,-3.0,-4.0,2.0,3.0,-3.0,-5.0,-2.0,-4.0,1,3,1,-2,-3,0,-5,2,2,-5,0,-3,3,-5,-4,-5,4,2,4,2,5,5,5,7,8,5,5,7,4,11,8
ffe,3.0,1.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,20.0,1.0,27.0,2.0,3.3,3,1.0,1.0,,,-4.0,-5.0,4.0,4.0,-3.0,-5.0,2.0,-5.0,3,4,-1,-4,-5,4,-5,4,2,-5,-5,-5,3,-5,-5,-5,4,3,5,4,4,5,4,8,9,5,4,8,1,11,10
fep,3.0,2.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,19.0,1.0,76.0,5.0,2.0,4,1.0,3.0,,,-3.0,-4.0,2.0,3.0,-4.0,-5.0,-3.0,-5.0,-3,5,-2,-2,-2,-1,-5,1,2,-5,-5,-3,0,-5,-5,-5,5,1,4,2,5,5,4,7,8,6,4,8,1,11,2
gth,3.0,1.0,3.0,1.0,1.0,,,2.0,3.0,1.0,1.0,22.0,1.0,57.0,-999.0,2.3,0,4.0,,1.0,3.0,-2.0,-2.0,2.0,4.0,1.0,-5.0,0.0,-2.0,2,4,0,0,0,4,-5,0,3,-5,0,0,0,0,0,-5,4,4,3,-999,4,4,4,8,8,4,4,6,3,11,2
4dk,3.0,1.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,20.0,2.0,78.0,1.0,2.7,0,1.0,3.0,,,0.0,-4.0,4.0,4.0,-5.0,-5.0,-1.0,-5.0,3,3,-999,-3,-4,0,-5,5,0,-5,-5,-5,4,-5,-2,-4,5,4,5,4,5,5,4,9,10,5,4,7,2,11,10
3md,3.0,1.0,2.0,0.0,1.0,,,3.0,1.0,1.0,1.0,19.0,1.0,73.0,2.0,2.7,0,1.0,1.0,,,-2.0,-3.0,4.0,3.0,-1.0,-5.0,1.0,-3.0,2,4,1,-2,-4,3,-5,3,2,-5,-5,-3,2,-5,-4,-3,4,4,5,3,4,5,4,6,7,4,3,5,1,11,6
gb4,2.0,5.0,3.0,1.0,2.0,,,1.0,2.0,1.0,1.0,20.0,1.0,78.0,8.0,2.3,1,4.0,,1.0,5.0,-3.0,-3.0,1.0,2.0,-3.0,-5.0,4.0,-2.0,-1,2,1,-4,-5,0,-5,1,4,-5,-5,-3,2,-5,-1,-5,4,2,4,2,3,2,4,9,10,6,5,9,3,11,5
dbk,3.0,2.0,3.0,0.0,2.0,,,3.0,1.0,1.0,1.0,19.0,1.0,72.0,2.0,2.0,3,1.0,2.0,,,3.0,3.0,2.0,3.0,0.0,-5.0,-1.0,-4.0,0,3,3,-2,2,4,-5,3,-3,-5,-5,1,2,2,2,-999,3,4,2,3,4,4,4,6,7,7,6,5,2,11,10
9fx,3.0,2.0,3.0,0.0,2.0,,,1.0,3.0,1.0,1.0,19.0,2.0,71.0,-999.0,3.7,0,1.0,1.0,,,-4.0,-5.0,4.0,1.0,-1.0,-5.0,-3.0,-5.0,0,0,2,-2,-4,0,-2,2,-1,-5,-5,-4,0,-5,-4,-3,5,2,5,4,4,4,4,8,9,4,3,8,1,11,10
3hc,3.0,2.0,3.0,0.0,1.0,,,3.0,3.0,1.0,1.0,24.0,1.0,47.0,5.0,2.7,0,1.0,3.0,,,2.0,-1.0,3.0,5.0,2.0,-5.0,1.0,-3.0,2,3,1,0,-2,1,-5,5,2,-4,-3,-1,2,-4,-1,-2,4,3,4,4,5,5,4,8,9,4,4,5,1,11,3
9ut,2.0,5.0,3.0,0.0,2.0,,,4.0,3.0,1.0,1.0,20.0,2.0,76.0,5.0,1.7,0,1.0,2.0,,,5.0,4.0,2.0,-2.0,3.0,-5.0,-5.0,-5.0,2,-1,0,-3,-2,2,2,2,-4,-5,-5,3,-1,-5,-5,-3,5,2,5,2,4,4,4,7,8,4,2,6,1,11,11
hmt,3.0,1.0,5.0,0.0,1.0,,,2.0,3.0,1.0,1.0,22.0,2.0,77.0,2.0,3.3,0,1.0,5.0,,,-3.0,-4.0,2.0,1.0,-3.0,-5.0,3.0,-3.0,1,2,5,-3,-4,0,-5,3,-3,-5,-5,-4,2,-5,-4,-4,5,4,5,3,4,4,4,8,9,6,7,7,2,11,6
