participant.label,conjoint_app.1.player.device_type,conjoint_app.1.player.operating_system,conjoint_app.1.player.browser,conjoint_app.1.player.lang,conjoint_app.1.player.use_of_device,demographic_app.1.player.rent,demographic_app.1.player.income,demographic_app.1.player.edu_father,demographic_app.1.player.edu_mother,demographic_app.1.player.ocu_father,demographic_app.1.player.ocu_mother,demographic_app.1.player.age,demographic_app.1.player.gender,demographic_app.1.player.postcode,demographic_app.1.player.tutorial,demographic_app.1.player.grade,network_app.1.player.linksrechts_self,political_app.1.player.sunday_poll,political_app.1.player.sunday_party_vote,political_app.1.player.sunday_not_eligible,political_app.1.player.noteligible_sunday_party_vote,political_app.1.player.scalo_cdu,political_app.1.player.scalo_csu,political_app.1.player.scalo_spd,political_app.1.player.scalo_gruene,political_app.1.player.scalo_fdp,political_app.1.player.scalo_afd,political_app.1.player.scalo_linke,political_app.1.player.scalo_bsw,political_app.1.player.scalo_pep1,political_app.1.player.scalo_pep2,political_app.1.player.scalo_pep3,political_app.1.player.scalo_pep4,political_app.1.player.scalo_pep5,political_app.1.player.scalo_pep6,political_app.1.player.scalo_pep7,political_app.1.player.scalo_pep8,political_app.1.player.scalo_pep9,political_app.1.player.scalo_pep10,political_app.1.player.scalo_pep11,political_app.1.player.scalo_pep12,political_app.1.player.scalo_pep13,political_app.1.player.scalo_pep14,political_app.1.player.scalo_pep15,political_app.1.player.scalo_pep16,political_app.1.player.politics_question_one,political_app.1.player.politics_question_two,political_app.1.player.politics_question_three,political_app.1.player.politics_question_four,political_app.1.player.politics_question_five,political_app.1.player.politics_question_six,political_app.1.player.politics_question_seven,political_app.1.player.lr_CDU,political_app.1.player.lr_CSU,political_app.1.player.lr_SPD,political_app.1.player.lr_Gruene,political_app.1.player.lr_FDP,political_app.1.player.lr_Linke,political_app.1.player.lr_AfD,political_app.1.player.lr_BSW
uhg,3.0,2.0,3.0,0.0,2.0,,,4.0,4.0,1.0,1.0,20.0,1.0,73.0,2.0,2.0,3,1.0,3.0,,,-3.0,-3.0,2.0,5.0,-3.0,-5.0,1.0,-5.0,2,2,3,-3,-5,3,-5,5,5,-5,-5,-4,4,-5,-5,-4,4,3,2,2,4,4,4,9,9,4,3,9,1,11,8
ktb,3.0,1.0,3.0,1.0,1.0,,,-999.0,1.0,-999.0,1.0,19.0,1.0,0.0,8.0,2.3,3,4.0,,1.0,6.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,2,-999,-999,-999,-1,-3,-999,0,-4,-999,-999,-999,-999,-999,-1,1,-999,4,-999,4,3,4,8,4,5,5,7,3,10,2
nrn,3.0,2.0,3.0,0.0,2.0,,,3.0,1.0,1.0,1.0,19.0,1.0,21.0,2.0,2.3,3,1.0,3.0,,,-4.0,-4.0,5.0,4.0,-3.0,-5.0,-3.0,-5.0,3,4,4,-4,-4,4,-5,4,2,-5,-5,-4,4,-5,-5,-2,4,2,4,3,4,4,4,8,9,4,5,7,3,11,10
mbv,2.0,5.0,3.0,0.0,2.0,,,1.0,1.0,1.0,1.0,19.0,2.0,78.0,4.0,3.0,7,1.0,2.0,,,5.0,5.0,2.0,-4.0,4.0,3.0,-4.0,1.0,1,-1,-4,5,5,-4,-2,-2,-4,-5,-4,4,-4,4,3,-3,5,2,5,4,5,4,4,-999,-999,-999,-999,-999,-999,-999,-999
th3,3.0,2.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,22.0,1.0,89.0,4.0,-999.0,0,1.0,8.0,,,-5.0,-5.0,1.0,1.0,-4.0,-5.0,-1.0,-5.0,-3,1,2,-4,-5,1,-5,-2,2,-5,-5,-4,-1,-5,-5,-5,3,2,4,2,4,5,4,9,9,6,5,8,2,11,3
dxh,3.0,2.0,3.0,0.0,1.0,,,4.0,2.0,1.0,1.0,20.0,2.0,40.0,2.0,3.0,7,1.0,4.0,,,5.0,4.0,0.0,-1.0,4.0,-5.0,-5.0,-5.0,-2,0,-2,2,3,5,-3,0,-2,-5,-5,5,0,-5,-5,-3,4,3,4,4,4,4,4,6,7,4,3,6,1,11,10
evs,3.0,2.0,3.0,0.0,2.0,,,3.0,2.0,0.0,0.0,22.0,1.0,55.0,3.0,3.3,6,1.0,7.0,,,1.0,0.0,0.0,-1.0,2.0,-3.0,-2.0,3.0,-3,-1,-1,1,-1,-1,-1,-999,0,-5,-4,-2,-4,-2,1,-1,4,2,-999,2,3,-999,3,7,8,4,3,7,1,10,6
crq,3.0,2.0,3.0,0.0,2.0,,,1.0,2.0,1.0,1.0,19.0,1.0,72.0,1.0,2.0,4,1.0,1.0,,,-2.0,-4.0,3.0,3.0,-3.0,-5.0,-3.0,-4.0,-3,4,-2,-3,-999,5,-5,1,3,-4,-5,-999,1,-5,-3,-3,4,1,2,2,4,4,4,7,10,5,4,9,3,11,1
knc,3.0,2.0,3.0,0.0,1.0,,,1.0,1.0,1.0,1.0,21.0,1.0,87.0,4.0,2.3,0,1.0,3.0,,,-3.0,-4.0,-2.0,4.0,2.0,-5.0,3.0,-4.0,2,4,1,-2,-4,2,-5,4,3,-5,-5,-3,-1,-5,-4,-4,4,4,5,4,4,4,4,6,8,6,4,7,2,11,7
yte,3.0,2.0,3.0,0.0,1.0,,,4.0,4.0,1.0,1.0,22.0,2.0,70.0,6.0,2.3,0,1.0,1.0,,,-1.0,-2.0,3.0,2.0,1.0,-4.0,-1.0,-4.0,3,2,3,-1,-2,-3,-4,3,-3,-5,-5,-3,3,-4,-4,-4,4,4,4,4,3,4,4,7,8,3,5,6,1,10,8
ngr,3.0,1.0,3.0,0.0,1.0,,,3.0,1.0,1.0,1.0,21.0,1.0,88.0,2.0,3.0,5,1.0,3.0,,,1.0,0.0,1.0,2.0,2.0,-5.0,-5.0,1.0,-2,4,-5,-1,-3,-5,-5,0,3,-5,-5,-5,-5,-5,3,-999,3,2,5,1,4,4,4,6,8,3,3,7,1,11,5
pkt,3.0,2.0,3.0,0.0,1.0,,,3.0,1.0,1.0,1.0,23.0,1.0,76.0,6.0,2.0,0,1.0,4.0,,,-1.0,-1.0,-2.0,-3.0,1.0,-5.0,-4.0,-5.0,-2,-1,-3,0,-3,-2,-5,-2,-2,-5,-5,-4,-3,-5,-5,-5,5,1,5,1,5,5,5,6,7,5,4,6,2,10,1
bey,3.0,1.0,2.0,0.0,1.0,,,4.0,4.0,1.0,1.0,22.0,2.0,79.0,7.0,2.7,0,1.0,3.0,,,-4.0,-5.0,2.0,4.0,-5.0,-5.0,-2.0,-5.0,-4,4,3,-5,-5,2,-5,5,3,-5,-5,-5,4,-5,-4,-5,4,3,4,3,4,3,4,9,10,5,4,6,2,11,8
ddh,3.0,1.0,4.0,0.0,1.0,,,2.0,2.0,1.0,1.0,19.0,2.0,0.0,2.0,2.0,2,4.0,1.0,1.0,1.0,-3.0,-4.0,2.0,3.0,2.0,-5.0,1.0,-5.0,-3,-2,-1,-3,-5,-2,-5,5,-1,-5,-5,1,-2,-5,-5,-5,5,3,5,3,5,5,5,9,10,4,2,7,1,11,6
9ra,3.0,2.0,3.0,0.0,2.0,,,2.0,2.0,1.0,1.0,21.0,1.0,78.0,7.0,2.0,3,1.0,5.0,,,3.0,3.0,3.0,2.0,1.0,-5.0,3.0,2.0,1,4,1,0,0,0,-3,-999,1,-5,-999,0,1,-5,3,2,2,1,4,2,-999,-999,-999,7,7,4,4,4,3,11,7
